C0027947	Neutropenia
C0009088	cluster headache
C0019123	hemothorax
C0020569	salivary gland enlargement
C0235946	cerebral atrophy
C0014457	Eosinophil Count Increased
C0009663	anogenital warts
C0011175	dehydration
C0018989	hemiparesis
C0024121	lung neoplasms
C1621958	glioblastoma multiforme
C0522224	palsies
C0575081	Abnormal Gait
C0235761	nasal septal perforation
C0025061	mediastinal disorder
C0034880	hyperacusia
C0011636	dermatophytosis
C0009938	bruise
C0162316	iron deficiency anaemia
C0002871	anaemia
C0027051	heart attack
C0003872	psoriatic arthritis
C0002726	amyloidosis
C0011991	diarrhea
C0001126	renal tubular acidosis
C0037011	shoulder pain
C0740394	hyperuricaemia
C0016665	fracture nonunion
C0259817	xerosis
C0025160	megacolon
C0002940	aneurysm
C0003564	Aphonia
C0262613	renal mass
C0015806	femoral neck fracture
C0154251	disorders of lipid metabolism
C0037036	excessive salivation
C0014869	reflux esophagitis
C0015734	faecal impaction
C0027424	nasal congestion
C0039614	tetanus
C0013395	dyspepsia
C0010823	CMV infection
C0341858	adenomyosis
C0151825	bone pain
C0022667	papillary necrosis
C0020538	High blood pressure
C0022408	arthropathy
C0039240	Supraventricular tachycardia
C0024117	chronic obstructive airway disease
C0007868	cervical dysplasia
C0037052	sick sinus syndrome
C0040460	dental pain
C0022116	ischaemia
C0040485	retrocollis
C0021390	inflammatory bowel disease
C0040247	tinea
C0021345	infectious mononucleosis
C0018800	cardiac enlargement
C0039446	telangiectases
C0003811	Arrhythmia
C0851578	sleep disorder
C0236720	flashbacks
C0161446	brachial plexus injury
C0435630	wrist fracture
C0009376	colonic polyp
C0011127	decubitus ulcer
C0001957	delirium tremens
C0005826	blood pressure abnormal
C0014742	erythema multiforme
C0042420	syncope vasovagal
C0007282	carotid artery stenosis
C0032580	familial adenomatous polyposis
C0025297	Meningitis Viral
C0085662	macrocytosis
C0152013	lung adenocarcinoma
C0030196	Extremity pain
C0037284	skin lesion
C0027121	muscle inflammation
C0010054	arteriosclerotic heart disease
C0006826	cancer
C0042870	Vitamin D Deficiency
C0085648	synovial cyst
C0033860	psoriasis
C0015468	face pain
C0232605	regurgitation
C0002963	Prinzmetal variant angina
C0019079	coughing blood
C0042571	spinning sensation
C0085652	pyoderma gangrenosum
C0001339	acute pancreatitis
C0011606	dermatitis exfoliative
C0034887	rectal polyp
